route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
25592,CMBC,002,MACDONALD-16TH AVE/BURRARD STN    , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt002.pdf, , 
25593,CMBC,003,MAIN/DOWNTOWN                  , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt003.pdf, , 
25594,CMBC,004,POWELL/DOWNTOWN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt004.pdf, , 
25595,CMBC,005,ROBSON/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt005.pdf, , 
25596,CMBC,006,DAVIE/DOWNTOWN                 , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt006.pdf, , 
25597,CMBC,007,NANAIMO STN/DUNBAR             , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt007.pdf, , 
25598,CMBC,008,FRASER/DOWNTOWN               , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt008.pdf, , 
25599,CMBC,009,BDRY/COMM-BWY/GRAN/ALMA/UBC  , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt009.pdf, , 
25600,CMBC,010,GRANVILLE/DOWNTOWN          , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt010.pdf, , 
25601,CMBC,014,HASTINGS/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt014.pdf, , 
25602,CMBC,015,CAMBIE/OLYMPIC VILLAGE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt015.pdf, , 
25603,CMBC,016,29TH AVENUE STN/ARBUTUS        , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt016.pdf, , 
25604,CMBC,017,OAK/DOWNTOWN                   , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt017.pdf, , 
25605,CMBC,019,METROTOWN STN/STANLEY PARK         , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt019.pdf, , 
25606,CMBC,020,VICTORIA/DOWNTOWN              , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt020.pdf, , 
25607,CMBC,022,KNIGHT/MACDONALD               , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt022.pdf, , 
25608,CMBC,025,BRENTWOOD STN/UBC             , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt025.pdf, , 
25609,CMBC,026,JOYCE STN/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt026.pdf, , 
25610,CMBC,027,KOOTENAY LOOP/JOYCE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt027.pdf, , 
25611,CMBC,028,CAP UNIVERSIT/PHIBBS EXCH/JOYCE STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt028.pdf, , 
25612,CMBC,029,ELLIOTT/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt029.pdf, , 
25613,CMBC,032,DUNBAR/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt032.pdf, , 
25614,CMBC,033,29 AVE STN/ UBC, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt033.pdf, , 
25615,CMBC,041,JOYCE STN/CROWN/UBC           , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt041.pdf, , 
25616,CMBC,043,JOYCE STN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt043.pdf, , 
25617,CMBC,044,UBC/DOWNTOWN                    , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt044.pdf, , 
25618,CMBC,049,METROTOWN STN/DUNBAR LOOP/UBC   , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt049.pdf, , 
25619,CMBC,050,WATERFRONT STN/FALSE CREEK SOUTH, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt050.pdf, , 
25620,CMBC,084,UBC/VCC STATION, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt084.pdf, , 
25621,CMBC,096,GUILDFORD EX/ NEWTON EX (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/107/tt096.pdf, , 
25622,CMBC,097,COQUITLAM STN/LOUGHEED STN (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/107/tt097.pdf, , 
25623,CMBC,099,COMMERCIAL-BROADWAY/UBC (B-LINE)  , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt099.pdf, , 
25624,CMBC,100,22ND ST STN/MARPOLE LOOP , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt100.pdf, , 
25625,CMBC,101,LOUGHEED STN/22ND ST STN      , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt101.pdf, , 
25626,CMBC,104,22ND ST STN/ANNACIS ISLAND, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt104.pdf, , 
25627,CMBC,106,NEW WESTMINSTER STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt106.pdf, , 
25628,CMBC,110,LOUGHEED STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt110.pdf, , 
25629,CMBC,112,EDMONDS STN/NEW WEST STN       , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt112.pdf, , 
25630,CMBC,116,EDMONDS STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt116.pdf, , 
25631,CMBC,123,NEW WEST STN/BRENTWOOD STN , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt123.pdf, , 
25632,CMBC,125,PATTERSON STN/BCIT, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt125.pdf, , 
25633,CMBC,128,BRAID STN/22ND STREET STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt128.pdf, , 
25634,CMBC,129,PATTERSON STN/EDMONDS STN , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt129.pdf, , 
25635,CMBC,130,METROTOWN/HASTINGS/KOOTENAY/CAP U, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt130.pdf, , 
25636,CMBC,134,LAKE CITY STN/BRENTWOOD STN   , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt134.pdf, , 
25637,CMBC,135,SFU/BURRARD STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt135.pdf, , 
25638,CMBC,136,LOUGHEED STN/BRENTWOOD STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt136.pdf, , 
25639,CMBC,143,COQUITLAM STN/SFU              , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt143.pdf, , 
25640,CMBC,144,SFU/METROTOWN STN              , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt144.pdf, , 
25641,CMBC,145,SFU/PRODUCTION STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt145.pdf, , 
25642,CMBC,150,WHITE PINE BEACH/COQUITLAM STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt150.pdf, , 
25643,CMBC,151,COQUITLAM STN/LOUGHEED STN        , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt151.pdf, , 
25644,CMBC,152,COQUITLAM STN/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt152.pdf, , 
25645,CMBC,153,COQUITLAM REC CTR/BRAID STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt153.pdf, , 
25646,CMBC,155,BRAID STN/22ND STREET  STN        , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt155.pdf, , 
25647,CMBC,156,BRAID STN/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt156.pdf, , 
25648,CMBC,157,COQUITLAM REC CENTRE/LOUGHEED STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt157.pdf, , 
25649,CMBC,159,PORT COQUITLAM STN/BRAID STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt159.pdf, , 
25650,CMBC,160,PORT COQUITLAM STN/VANCOUVER, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt160.pdf, , 
25651,CMBC,169,COQUITLAM STN/BRAID STN     , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt169.pdf, , 
25652,CMBC,178,COQUITLAM STN/PORT MOODY STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt178.pdf, , 
25653,CMBC,188,COQUITLAM STN/PORT COQUITLAM STN, ,3,http://infomaps.translink.ca/Public_Timetables/107/tt188.pdf, , 
25654,CMBC,190,COQUITLAM STN/VANCOUVER        , ,3,http://infomaps.translink.ca/Public_Timetables/107/tt190.pdf, , 
